source,item_name,dough_sku,weekday,date,produced_qty,sold_qty,leftover_qty,sellout,unusual_context
SIMULATED,Croissant,croissant-dough,Tuesday,2026-07-14,12,10,2,FALSE,
SIMULATED,Croissant,croissant-dough,Tuesday,2026-07-21,12,12,0,TRUE,
SIMULATED,Croissant,croissant-dough,Tuesday,2026-07-28,12,9,3,FALSE,
SIMULATED,Croissant,croissant-dough,Tuesday,2026-08-04,12,11,1,FALSE,
SIMULATED,Strawberry Croissant,croissant-dough,Tuesday,2026-07-14,24,20,4,FALSE,
SIMULATED,Strawberry Croissant,croissant-dough,Tuesday,2026-07-21,24,22,2,FALSE,
SIMULATED,Strawberry Croissant,croissant-dough,Tuesday,2026-07-28,24,18,6,FALSE,
SIMULATED,Strawberry Croissant,croissant-dough,Tuesday,2026-08-04,24,21,3,FALSE,
SIMULATED,Crookie,croissant-dough,Tuesday,2026-07-14,12,12,0,TRUE,
SIMULATED,Crookie,croissant-dough,Tuesday,2026-07-21,12,11,1,FALSE,
SIMULATED,Crookie,croissant-dough,Tuesday,2026-07-28,12,12,0,TRUE,
SIMULATED,Crookie,croissant-dough,Tuesday,2026-08-04,12,10,2,FALSE,
SIMULATED,Almond Croissant,croissant-dough,Tuesday,2026-07-14,12,6,6,FALSE,
SIMULATED,Almond Croissant,croissant-dough,Tuesday,2026-07-21,12,5,7,FALSE,
SIMULATED,Almond Croissant,croissant-dough,Tuesday,2026-07-28,12,7,5,FALSE,
SIMULATED,Almond Croissant,croissant-dough,Tuesday,2026-08-04,12,6,6,FALSE,
SIMULATED,Chocolate Croissant,croissant-dough,Tuesday,2026-07-14,12,11,1,FALSE,
SIMULATED,Chocolate Croissant,croissant-dough,Tuesday,2026-07-21,12,10,2,FALSE,
SIMULATED,Chocolate Croissant,croissant-dough,Tuesday,2026-07-28,12,12,0,TRUE,
SIMULATED,Chocolate Croissant,croissant-dough,Tuesday,2026-08-04,12,9,3,FALSE,
SIMULATED,Garlic & Cheese Croissant,croissant-dough,Tuesday,2026-07-14,12,8,4,FALSE,
SIMULATED,Garlic & Cheese Croissant,croissant-dough,Tuesday,2026-07-21,12,9,3,FALSE,
SIMULATED,Garlic & Cheese Croissant,croissant-dough,Tuesday,2026-07-28,12,7,5,FALSE,
SIMULATED,Garlic & Cheese Croissant,croissant-dough,Tuesday,2026-08-04,12,8,4,FALSE,
SIMULATED,Vanilla Cream Donut,donut-dough,Tuesday,2026-07-14,15,13,2,FALSE,
SIMULATED,Vanilla Cream Donut,donut-dough,Tuesday,2026-07-21,15,15,0,TRUE,
SIMULATED,Vanilla Cream Donut,donut-dough,Tuesday,2026-07-28,15,12,3,FALSE,
SIMULATED,Vanilla Cream Donut,donut-dough,Tuesday,2026-08-04,15,14,1,FALSE,
SIMULATED,Chocolate Cream Donut,donut-dough,Tuesday,2026-07-14,15,14,1,FALSE,
SIMULATED,Chocolate Cream Donut,donut-dough,Tuesday,2026-07-21,15,13,2,FALSE,
