category,item_name,dough_sku,mon_thu_production_qty,fri_sun_production_qty,comparable_day_1_sold,comparable_day_2_sold,comparable_day_3_sold,comparable_day_4_sold,leftover_qty,freezer_full_boxes,freezer_partial_pieces,notes
pastry,Croissant,croissant-dough,12,24,,,,,,,,
pastry,Strawberry Croissant,croissant-dough,24,36,,,,,,,,
pastry,Crookie,croissant-dough,12,24,,,,,,,,
pastry,Almond Croissant,croissant-dough,12,24,,,,,,,,
pastry,Chocolate Croissant,croissant-dough,12,24,,,,,,,,
pastry,Garlic & Cheese Croissant,croissant-dough,12,24,,,,,,,,
pastry,Pain Au Chocolat,,,,,,,,,,,
pastry,Pain Aux Raisin,,,,,,,,,,,
pastry,Pistachio Spiral Croissant,,,,,,,,,,,
pastry,Pecan Croissant Flattie,,,,,,,,,,,
pastry,Croissant Flattie,,,,,,,,,,,
pastry,Mango Croissant,,,,,,,,,,,
pastry,Strawberry Pastry,,,,,,,,,,,
pastry,Sausage Onion Pastry,,,,,,,,,,,
pastry,Salad Croquette,,,,,,,,,,,
pastry,Nutella Banana Pastry,,,,,,,,,,,
pastry,Mini Apple Danish Trio,,,,,,,,,,,
pastry,Ham Cheese Pastry,,,,,,,,,,,
pastry,Frank Pastry,,,,,,,,,,,
pastry,Elotes Pastry,,,,,,,,,,,
pastry,Crispy Almond Pastry,,,,,,,,,,,
pastry,Blueberry Muffin With Blueberry filling,,,,,,,,,,,
pastry,Belgium Waffle,,,,,,,,,,,
pastry,Baby Choux,,,,,,,,,,,
pastry,Souffle Cheese Cake,,,,,,,,,,,
pastry,Portuguese Egg Tart,,,,,,,,,,,
pastry,Mushroom Onion Cheese Pastry,,,,,,,,,,,
pastry,Mocha Cake Mini Snack,,,,,,,,,,,
pastry,Mixed Berry Danish,,,,,,,,,,,
pastry,Curry Croquette,,,,,,,,,,,
pastry,Chocolate Muffin With Hazelnut,,,,,,,,,,,
pastry,Chocolate Avalanche,,,,,,,,,,,
pastry,Choco Filled Chocolate Chip Cookie,,,,,,,,,,,
pastry,Choco Chip Cookie,,,,,,,,,,,
pastry,Caramel Almond Pastry,,,,,,,,,,,
pastry,Butter Cookie,,,,,,,,,,,
pastry,Almond Coconut Choco Chip Cookie,,,,,,,,,,,
pastry,Guava Danish,,,,,,,,,,,
pastry,Caramel Apple Pie,,,,,,,,,,,
pastry,Yuzu Pie,,,,,,,,,,,
pastry,Milk Cream Cornet Pie,,,,,,,,,,,
pastry,Chocolate Cream Cornet Pie,,,,,,,,,,,
pastry,Blueberry Cream Cornet Pie,,,,,,,,,,,
pastry,Mont Blanc Pastry,,,,,,,,,,,
pastry,Spinach Feta Danish,,,,,,,,,,,
pastry,Greek Yogurt Cherry Danish,,,,,,,,,,,
pastry,Sweet Cheese & Blueberry Danish,,,,,,,,,,,
pastry,Custard & Almond Pretzel Pastry,,,,,,,,,,,
pastry,Chocolate Pretzel Pastry,,,,,,,,,,,
pastry,Blueberry Jam Mont Blanc Pastry,,,,,,,,,,,
pastry,Apple Jam Mont Blanc Pastry,,,,,,,,,,,
pastry,Vanilla Cream Donut,,,,,,,,,,,
pastry,Chocolate Cream Donut,,,,,,,,,,,
pastry,Mango Cream Donut,,,,,,,,,,,
pastry,Croquette,,,,,,,,,,,
pastry,Kimchi Croquette,,,,,,,,,,,
pastry,Sweet Rice Donut,,,,,,,,,,,
pastry,Frank Roll,,,,,,,,,,,
pastry,Sesame Donut,,,,,,,,,,,
pastry,Red Bean Donut,,,,,,,,,,,
bread,Baguette,,,,,,,,,,,
bread,Garlic Stick,,,,,,,,,,,
bread,Garlic Cream Cheese Bread,,,,,,,,,,,
bread,Walnut Cream Baguette,,,,,,,,,,,
bread,The+ Milk Roll,,,,,,,,,,,
bread,Spicy Sausage Bread,,,,,,,,,,,
bread,Pizza Baguette,,,,,,,,,,,
bread,Pineapple Macadamia Scone,,,,,,,,,,,
bread,Olive Tomato Bread,,,,,,,,,,,
bread,Olive Basil Loaf,,,,,,,,,,,
bread,Nutty Cream Stick Bread,,,,,,,,,,,
bread,Mocha Cream Bread,,,,,,,,,,,
bread,Mini Buttercream Bread,,,,,,,,,,,
bread,Milk Cream Red Bean Bread,,,,,,,,,,,
bread,Garlic Ham Cheese Bread,,,,,,,,,,,
bread,Foliage Sausage Bread,,,,,,,,,,,
bread,Custard Cream Soboro,,,,,,,,,,,
bread,Cranberry White Choco Scone,,,,,,,,,,,
bread,Choco Shell Bread,,,,,,,,,,,
bread,Strawberry Soft,,,,,,,,,,,
bread,Premium Red Bean Bread,,,,,,,,,,,
bread,Pizza Bread,,,,,,,,,,,
bread,Original Coffee Bun,,,,,,,,,,,
bread,Morning Bread,,,,,,,,,,,
bread,Mocha Bread,,,,,,,,,,,
bread,Milky Bread,,,,,,,,,,,
bread,Milk Soft,,,,,,,,,,,
bread,Whipped Cream Loaf,,,,,,,,,,,
bread,Everything Bagel,,,,,,,,,,,
bread,Cranberry Cream Cheese Bread,,,,,,,,,,,
bread,Cloud Bagel,,,,,,,,,,,
bread,Chestnut Pan Bread,,,,,,,,,,,
bread,Bulgogi Sausage Roll,,,,,,,,,,,
bread,Banana Soft,,,,,,,,,,,
bread,Chocolate Dipped Belgium Waffle,,,,,,,,,,,
bread,Salt & Butter Roll,,,,,,,,,,,
bread,Buttercream Bread,,,,,,,,,,,
bread,Blueberry Cream Cheese Bread,,,,,,,,,,,
bread,Raisin Bread,,,,,,,,,,,
bread,Multi-Grain Loaf,,,,,,,,,,,
bread,Sweet Frank Roll,,,,,,,,,,,
bread,Croque Monsieur,,,,,,,,,,,
bread,Soboro Bread,,,,,,,,,,,
bread,Strawberry Cream Soboro,,,,,,,,,,,
bread,Custard Bun,,,,,,,,,,,
bread,Whole Milk Loaf,,,,,,,,,,,
bread,Red Bean Bread,,,,,,,,,,,
bread,Milk Cream Bread,,,,,,,,,,,
bread,Purple Sweet Potato Loaf,,,,,,,,,,,
bread,Milk Pillow Bread,,,,,,,,,,,
bread,Taro Cream Bread,,,,,,,,,,,
bread,Honeydew Melon Soft,,,,,,,,,,,
bread,Honey Cheese Mochi Pancake,,,,,,,,,,,
